Party,Date,Supplier,Description,Amount,Category
Liberal,05-03-2023,,"GARDEN PARTY EXPENSES, FOOD AND REFRESHMENTS AS",427.54,Fundraising
National,14-03-2023,Allsopp Signs,Signage,954.8,Advertising
National,22-12-2022,Bathurst Signs and Screenprint,Signage,1084.11,Advertising
National,06-02-2023,Central Commercial Printers Pty Ltd,Signage,3718,Advertising
National,17-10-2022,Extreme Marquees Pty Ltd,Signage,2613.7,Advertising
National,20-01-2023,Extreme Marquees Pty Ltd,Signage,932.84,Advertising
National,11-01-2023,Extreme Marquees Pty Ltd,Signage,932.84,Advertising
National,02-02-2023,Hunter Valley Printing,Signage,115.01,Advertising
National,23-02-2023,IC Signs,Signage,990,Advertising
National,07-03-2023,Insane Signs & Print,Signage,739.2,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,2956.8,Advertising
National,07-03-2023,Insane Signs & Print,Signage,1848,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,1848,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,1848,Advertising
National,07-03-2023,Insane Signs & Print,Signage,3696,Advertising
National,07-03-2023,Insane Signs & Print,Signage,1848,Advertising
National,09-02-2023,J.G. Lines & Designs,Signage,2464,Advertising
National,09-03-2023,Leader Graphics,Signage,127.5,Advertising
National,17-03-2023,Leader Graphics,Signage,127.5,Advertising
National,09-03-2023,Robyn Thomas,Signage,534.28,Advertising
National,23-03-2023,STT Advertising,Signage,3300,Advertising
National,21-12-2022,The Sign Shop,Signage,2667.5,Advertising
National,21-12-2022,The Sign Shop,Signage,2667.5,Advertising
National,09-01-2023,3G Printing & Graphics,Corflutes,6500,Advertising
National,19-01-2023,Lismore Men and Community Shed,Corflutes,160,Advertising
National,03-01-2023,Bunnings,Corflutes,299.24,Advertising
National,15-03-2023,Bunnings,Corflutes,241.42,Advertising
National,27-01-2023,AM Printing Services,Corflutes,5461.5,Advertising
National,28-01-2023,Vane Tempest Bros,Corflutes,26.46,Advertising
National,28-01-2023,Owens Rural Supplies,Corflutes,23,Advertising
National,25-02-2023,Adkins Hardware,Corflutes,21.15,Advertising
National,15-02-2023,Mitre 10,Corflutes,9.5,Advertising
National,08-03-2023,Reject Shop,Corflutes,26,Advertising
National,11-12-2022,Aldi,Corflutes,20.97,Advertising
National,22-12-2022,Bunnings,Corflutes,57.81,Advertising
National,29-12-2022,Bunnings,Corflutes,21.21,Advertising
National,31-12-2022,Aldi,Corflutes,10.02,Advertising
National,12-01-2023,Bunnings,Corflutes,33.28,Advertising
National,18-01-2023,Bunnings,Corflutes,133.08,Advertising
National,13-03-2023,Aldi,Corflutes,34.95,Advertising
National,12-03-2023,Bunnings,Corflutes,19.94,Advertising
National,14-03-2023,Bunnings,Corflutes,71.53,Advertising
National,15-03-2023,Bunnings,Corflutes,60.78,Advertising
National,17-01-2023,Central Commercial Printers Pty Ltd,Corflutes,3190,Advertising
National,03-02-2023,Cessnock Print Place,Corflutes,3190,Advertising
National,07-03-2023,Chambers Whyte Design & Print,Corflutes,403.7,Advertising
National,02-02-2023,Chambers Whyte Design & Print,Corflutes,6275.5,Advertising
National,24-01-2023,Dubbo Printing Works Pty Ltd,Corflutes,6454.8,Advertising
National,02-03-2023,Blayney A & P Association INC,Forums/Events,46,Campaign Material
National,03-02-2023,BOC Limited,Forums/Events,545.59,Campaign Material
National,24-02-2023,BOC Limited,Forums/Events,564,Campaign Material
National,26-02-2023,BOC Limited,Forums/Events,4.09,Campaign Material
National,03-03-2023,BOC Limited,Forums/Events,545.59,Campaign Material
National,10-03-2023,BOC Limited,Forums/Events,545.59,Campaign Material
National,17-03-2023,BOC Limited,Forums/Events,545.59,Campaign Material
National,26-02-2023,BOC Limited,Forums/Events,18.03,Campaign Material
National,04-03-2023,BOOROWA SHOW SOCIETY INC,Forums/Events,30,Campaign Material
National,25-02-2023,Marine Rescue NSW,Forums/Events,28,Campaign Material
National,02-03-2023,R & K Gas and Camping,Forums/Events,180,Campaign Material
National,23-12-2022,Cooma Pastoral & Agricultural Society,Forums/Events,700,Campaign Material
National,19-01-2023,Cooma Pastoral & Agricultural Society,Forums/Events,65,Campaign Material
National,22-01-2023,Dalgety Show Society Inc,Forums/Events,500,Campaign Material
National,24-02-2023,Spotlight,Forums/Events,170.01,Campaign Material
National,18-02-2023,Gulgong Show Society,Forums/Events,44,Campaign Material
National,17-02-2023,HUNTER RIVER AGRICULTURAL &,Forums/Events,264,Campaign Material
National,17-03-2023,Lithgow Show Society Inc,Forums/Events,25,Campaign Material
National,26-02-2023,Unkya Market,Forums/Events,20,Campaign Material
National,10-02-2023,Midcoast Council,Conference/Events,500,Campaign Material
National,10-02-2023,Midcoast Council,Forums/Events,1210,Campaign Material
National,24-02-2023,MOORLAND RECREATION RESERVE LAND,Forums/Events,100,Campaign Material
National,04-03-2023,Mudgee Show Society Incorporated,Forums/Events,140,Campaign Material
National,26-02-2023,Murwillumbah Show,Forums/Events,40,Campaign Material
National,02-01-2023,Murwillumbah Market,Forums/Events,40,Campaign Material
National,20-10-2022,North Coast National A & I Society Inc.,Forums/Events,550,Campaign Material
National,09-03-2023,Northern Agricultural Association Inc,Forums/Events,200,Campaign Material
National,02-03-2023,R & K Gas and Camping,Forums/Events,180,Campaign Material
National,23-01-2023,RYDAL & DISTRICT AGRICULTURAL,Forums/Events,20,Campaign Material
National,25-02-2023,Rylstone-Kandos Show Society Inc,Forums/Events,80,Campaign Material
National,03-03-2023,Tamworth Pastoral and Agricultural,Forums/Events,110,Campaign Material
National,07-01-2023,Marine Rescue NSW,Forums/Events,20,Campaign Material
National,04-02-2023,Wingham Market,Forums/Events,20,Campaign Material
National,18-02-2023,Lions Club of Manning River Inc,Forums/Events,30,Campaign Material
National,26-02-2023,Old Bar Markets,Forums/Events,25,Campaign Material
National,25-02-2023,Nabiac Farmers Market,Forums/Events,30,Campaign Material
National,04-03-2023,Taree High Tuckshop,Forums/Events,25,Campaign Material
National,12-03-2023,Forster Markets,Forums/Events,27,Campaign Material
National,25-11-2022,The Dorrigo and Guy Fawkes Agricultural,Forums/Events,50,Campaign Material
National,11-02-2023,The Valley Markets,Forums/Events,45,Campaign Material
National,25-11-2022,Warren Jockey Club,Forums/Events,371,Campaign Material
National,10-02-2023,Lets Get Baked,Forums/Events,425,Campaign Material
National,02-03-2023,PT Trade Supplies,Forums/Events,17.5,Campaign Material
National,19-03-2023,Manning River Lions,Forums/Events,30,Campaign Material
National,09-02-2023,PT Trade Supplies,Forums/Events,280.01,Campaign Material
National,07-02-2023,Woolworths,Forums/Events,84,Campaign Material
National,28-01-2023,Beachside Markets,Forums/Events,30,Campaign Material
National,14-03-2023,Upper Hunter Show Inc,Forums/Events,25,Campaign Material
National,24-03-2023,Elton Ward Creative Pty Ltd,Graphic Design,1438.8,Campaign Material
National,24-03-2023,Elton Ward Creative Pty Ltd,Graphic Design,1438.8,Campaign Material
National,24-03-2023,Elton Ward Creative Pty Ltd,Graphic Design,1438.8,Campaign Material
National,24-03-2023,Elton Ward Creative Pty Ltd,Graphic Design,1438.8,Campaign Material
National,24-03-2023,Elton Ward Creative Pty Ltd,Graphic Design,1438.8,Campaign Material
National,06-01-2023,Officeworks,Stationery,171.56,Operations
National,05-03-2023,Officeworks,Stationery,12.5,Operations
National,08-02-2023,Officeworks,Stationery,92.36,Operations
National,22-02-2023,Officeworks,Stationery,81.96,Operations
National,25-02-2023,Marketown Newsagency,Stationery,8.1,Operations
National,28-02-2023,Officeworks,Stationery,51.38,Operations
National,22-03-2023,Officeworks,Stationery,32.54,Operations
National,15-03-2023,Office Choice,Stationery,58.28,Operations
National,22-03-2023,Top End Newsagency,Stationery,30.5,Operations
National,22-03-2023,Big W,Stationery,7.5,Operations
National,24-03-2023,Big W,Stationery,18.25,Operations
National,21-02-2023,Officeworks,Stationery,556.5,Operations
National,17-03-2023,Kmart,Stationery,7,Operations
National,18-03-2023,Coles,Stationery,6,Operations
National,24-01-2023,Officeworks,Stationery,298.27,Operations
National,25-01-2023,Officeworks,Stationery,267.75,Operations
National,01-03-2023,Officeworks,Stationery,406,Operations
National,03-03-2023,Officeworks,Stationery,52.12,Operations
National,04-03-2023,Kmart,Stationery,108.5,Operations
National,10-02-2023,Officeworks,Stationery,148,Operations
National,10-02-2023,Officeworks,Stationery,161.84,Operations
National,10-02-2023,Officeworks,Stationery,89.53,Operations
National,03-02-2023,Officeworks,Stationery,42.78,Operations
National,19-01-2023,3G Printing & Graphics,Stationery-candidate,155,Operations
National,11-03-2023,Office Choice,Stationery-candidate,110.04,Operations
National,14-02-2023,Cessnock Print Place,Stationery-candidate,167,Operations
National,24-01-2023,Chambers Whyte Design & Print,Stationery-candidate,168.3,Operations
National,06-12-2022,Grafton Print,Stationery-candidate,190.4,Operations
National,11-01-2023,Jabiru Printing,Stationery-candidate,205,Operations
National,31-12-2022,Lismore City Printery Pty Ltd,Stationery-candidate,149,Operations
National,16-01-2023,Matrix Printing,Stationery-candidate,125,Operations
National,12-03-2023,Matrix Printing,Stationery-candidate,121,Operations
National,29-11-2022,Print Storm,Stationery-candidate,219,Operations
National,20-10-2022,Progress Printing West Pty Ltd,Stationery-candidate,176,Operations
National,15-11-2022,Progress Printing West Pty Ltd,Stationery-candidate,176,Operations
National,26-10-2022,Summit Press Printing,Stationery-candidate,198,Operations
National,31-10-2022,Sunne Printing Services Pty Ltd,Stationery-candidate,110,Operations
National,27-01-2023,Sunne Printing Services Pty Ltd,Stationery-candidate,139,Operations
National,07-02-2023,Australia Post,PVA's - Postage,28.86,Operations
National,03-11-2022,Australia Post,Postage-general,101.9,Operations
National,08-11-2022,Australia Post,Postage-general,66.5,Operations
National,23-11-2022,Australia Post,Postage-general,16.65,Operations
National,03-11-2022,Australia Post,Postage-general,7.1,Operations
National,03-01-2023,Australia Post,Postage-general,2.18,Operations
National,17-01-2023,Australia Post,Postage-general,38.85,Operations
National,13-01-2023,Australia Post,Postage-general,57,Operations
National,19-01-2023,Australia Post,Postage-general,5.7,Operations
National,20-01-2023,Australia Post,Postage-general,2.28,Operations
National,20-01-2023,Australia Post,Postage-general,1.14,Operations
National,18-01-2023,Australia Post,Postage-general,30.78,Operations
National,20-01-2023,Australia Post,Postage-general,1.14,Operations
National,20-01-2023,Australia Post,Postage-general,1.14,Operations
National,20-01-2023,Australia Post,Postage-general,1.14,Operations
National,20-01-2023,Australia Post,Postage-general,1.14,Operations
National,13-02-2023,Unknown,Campaign related work,2762.5,Staff
National,13-02-2023,Unknown,Campaign related work,2550,Staff
National,20-02-2023,Unknown,Campaign related work,4611.24,Staff
National,13-02-2023,Unknown,Campaign related work,7649.99,Staff
National,01-10-2022,Unknown,Campaign related work,257362.32,Staff
National,27-02-2023,Unknown,Campaign related work,1750,Staff
National,09-03-2023,Unknown,Campaign related work,2000,Staff
National,20-03-2023,Unknown,Campaign related work,1250,Staff
National,13-02-2023,Unknown,Campaign related work,3750,Staff
National,20-03-2023,Unknown,Campaign related work,750,Staff
National,25-03-2023,Unknown,Campaign related work,250,Staff
National,13-02-2023,Unknown,Campaign related work,3750,Staff
National,20-03-2023,Unknown,Campaign related work,750,Staff
National,13-02-2023,ANDREW MCDONALD COMMERCIAL -,Office Rental,5335,Office
National,08-02-2023,Ballina RSL Club Limited,Office Rental,2250,Office
National,01-02-2023,Benchmark Property Advisory Pty Ltd,Office Rental,1416.25,Office
National,01-03-2023,Benchmark Property Advisory Pty Ltd,Office Rental,1142.14,Office
National,13-02-2023,LE CLAYTON-SPRAY,Office Rental,1100,Office
National,16-01-2023,Dokimos Pty Limited,Office Rental,3575,Office
National,23-01-2023,Dokimos Pty Limited,Office Rental,3575,Office
National,01-12-2022,First National Commercial Shultz\ Taree,Office Rental,941.9,Office
National,01-01-2023,First National Commercial Shultz\ Taree,Office Rental,941.9,Office
National,01-02-2023,First National Commercial Shultz\ Taree,Office Rental,941.9,Office
National,01-03-2023,First National Commercial Shultz\ Taree,Office Rental,759.59,Office
National,13-02-2023,J AND K MCCABE INVESTMENTS UNIT TRUST,Office Rental,4766.66,Office
National,13-03-2023,J AND K MCCABE INVESTMENTS UNIT TRUST,Office Rental,2921.5,Office
National,01-02-2023,J AND K MCCABE INVESTMENTS UNIT TRUST,Office Rental,189.75,Office
National,01-01-2023,Knight Frank Australia Pty Ltd,Office Rental,9900,Office
National,13-02-2023,Knight Frank Wagga Wagga,Office Rental,7700,Office
National,01-02-2023,Majeti Pty Ltd,Office Rental,10450,Office
National,23-01-2023,Park Beach Plaza,Office Rental,2000,Office
National,27-01-2023,Raine & Horne Bathurst,Office Rental,5280,Office
National,15-02-2023,All Signs & Graphics,Office Signage,4438.5,Office
National,28-02-2023,Allsopp Signs,Office Signage,1536.15,Office
National,13-02-2023,Central Commercial Printers Pty Ltd,Office Signage,2200,Office
National,13-02-2023,Central Commercial Printers Pty Ltd,Office Signage,1408,Office
National,03-02-2023,KEMPSEY SIGNS PTY LTD,Office Signage,3498,Office
National,27-02-2023,LJ SIGNS PTY LTD,Office Signage,2486.68,Office
National,04-11-2022,M & M Signs Australia,Office Signage,3659.7,Office
National,31-01-2023,PRINT STORM,Office Signage,2620,Office
National,21-02-2023,Signarama Northern Rivers,Office Signage,462,Office
National,03-03-2023,,Office Signage,1500,Office
National,09-02-2023,Signvision,Office Signage,3200,Office
National,21-02-2023,Valley Signs & Printing Pty Ltd,Office Signage,2750,Office
National,02-02-2023,AGL,Utilities,229.42,Office
National,01-02-2023,AGL,Utilities,87.08,Office
National,20-02-2023,AGL,Utilities,202.51,Office
National,15-02-2023,AGL,Utilities,174.28,Office
National,11-03-2023,AGL,Utilities,102.07,Office
National,24-02-2023,AGL,Utilities,65.19,Office
National,22-02-2023,AGL,Utilities,298.47,Office
National,16-02-2023,AGL,Utilities,511.84,Office
National,09-03-2023,AGL,Utilities,36.84,Office
National,02-03-2023,Origin Energy,Utilities,91.29,Office
National,21-03-2023,Mantra on View,Travel & Accommodation,75,Travel
National,21-03-2023,Ampol,Travel & Accommodation,76.04,Travel
National,19-03-2023,7 Eleven,Travel & Accommodation,55.1,Travel
National,16-03-2023,Ampol,Travel & Accommodation,66.28,Travel
National,15-03-2023,Metro,Travel & Accommodation,49.85,Travel
National,10-03-2023,BP,Travel & Accommodation,79.36,Travel
National,07-03-2023,United,Travel & Accommodation,68.76,Travel
National,04-03-2023,Coles,Travel & Accommodation,64.98,Travel
National,28-02-2023,Purtill Group,Travel & Accommodation,62.24,Travel
National,24-03-2023,Ampol,Travel & Accommodation,97.42,Travel
National,23-03-2023,BP,Travel & Accommodation,107.86,Travel
National,06-10-2022,Cobar Town Accommodation,Travel & Accommodation,95,Travel
National,21-10-2022,Alamo Motor Inn,Travel & Accommodation,232,Travel
National,09-11-2022,Meyers Motors Fuels,Travel & Accommodation,51.44,Travel
National,12-11-2022,BP,Travel & Accommodation,67.21,Travel
National,12-11-2022,Shell,Travel & Accommodation,63.45,Travel
National,12-11-2022,Ampol,Travel & Accommodation,55.23,Travel
National,16-11-2022,Ampol,Travel & Accommodation,73,Travel
National,17-11-2022,BP,Travel & Accommodation,81,Travel
National,17-11-2022,Cobar Auto Part,Travel & Accommodation,45.77,Travel
National,20-10-2022,Cobar Auto Part,Travel & Accommodation,73.01,Travel
National,19-11-2022,BP,Travel & Accommodation,50,Travel
National,19-11-2022,Cobar Auto Part,Travel & Accommodation,105,Travel
National,03-01-2023,NSW Train Link,Travel & Accommodation,79.89,Travel
National,20-01-2023,Clocktower Motor Inn,Travel & Accommodation,120,Travel
National,21-01-2023,Forest Lodge Motor Inn,Travel & Accommodation,150,Travel
National,13-01-2023,Crossroads Motel,Travel & Accommodation,115.01,Travel
National,20-01-2023,Coles,Travel & Accommodation,88.05,Travel
National,06-01-2023,Globe Timer Mills & Jo,Travel & Accommodation,35.5,Travel
National,15-01-2023,Gilgandra-fuel,Travel & Accommodation,95,Travel
National,05-01-2023,Metro Hillside Station,Travel & Accommodation,97.02,Travel
National,09-01-2023,BP,Travel & Accommodation,104.73,Travel
National,07-01-2023,Metro Hillside Station,Travel & Accommodation,94.88,Travel
National,07-01-2023,S24 Broken Hill,Travel & Accommodation,9.48,Travel
National,12-01-2023,Metro Hillside Station,Travel & Accommodation,64.36,Travel
National,13-01-2023,BP,Travel & Accommodation,78.03,Travel
National,02-12-2022,ClockTower,Travel & Accommodation,100,Travel
National,02-12-2022,Inland West,Travel & Accommodation,56.91,Travel
National,03-12-2022,Collie Hotel,Travel & Accommodation,120,Travel
National,05-12-2022,Cobar,Travel & Accommodation,64.51,Travel
National,29-11-2022,Matilda Motor Inn,Travel & Accommodation,158,Travel
National,03-12-2022,Ampol,Travel & Accommodation,75.75,Travel
National,02-12-2022,Easmans Gilgandra,Travel & Accommodation,38.47,Travel
National,29-11-2022,BP,Travel & Accommodation,37.14,Travel
National,29-11-2022,Cobar Auto Part,Travel & Accommodation,44.93,Travel
National,12-12-2022,Wallangulla Motel,Travel & Accommodation,125,Travel
National,15-12-2022,Major Mitchell Motel,Travel & Accommodation,155,Travel
National,16-12-2022,Alamo Motor Inn,Travel & Accommodation,160,Travel
National,19-10-2022,Whitecliffs,Travel & Accommodation,45.71,Travel
National,22-11-2022,ClockTower,Travel & Accommodation,120,Travel
National,23-11-2022,ClockTower,Travel & Accommodation,120,Travel
National,05-12-2022,BP,Travel & Accommodation,50.29,Travel
National,08-12-2022,BP,Travel & Accommodation,72.91,Travel
National,08-12-2022,Cobar Auto Part,Travel & Accommodation,47.43,Travel
National,11-07-2022,KJC Research,Research,63520,Research
National,16-08-2022,KJC Research,Research,42344.01,Research
National,18-08-2022,KJC Research,Research,13992,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.28,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.28,Research
National,28-11-2022,KJC Research,Research,9004.28,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.28,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,28-11-2022,KJC Research,Research,9004.28,Research
National,28-11-2022,KJC Research,Research,9004.28,Research
National,28-11-2022,KJC Research,Research,9004.28,Research
National,28-11-2022,KJC Research,Research,9004.28,Research
National,28-11-2022,KJC Research,Research,9004.28,Research
National,28-11-2022,KJC Research,Research,9004.29,Research
National,14-02-2023,KJC Research,Research,4502.2,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,14-02-2023,KJC Research,Research,4502.14,Research
National,20-03-2023,KJC Research,Research,8760.8,Research
National,20-03-2023,KJC Research,Research,1500.71,Research
National,20-03-2023,KJC Research,Research,1500.71,Research
National,20-03-2023,KJC Research,Research,1500.71,Research
National,20-03-2023,KJC Research,Research,1500.71,Research
National,20-03-2023,KJC Research,Research,1500.71,Research
National,20-03-2023,KJC Research,Research,1500.71,Research
National,20-03-2023,KJC Research,Research,1500.71,Research
National,31-08-2022,Australia Post,Fundraising Expenditure,38.15,Fundraising
National,26-08-2022,Australia Post,Fundraising Expenditure,138.44,Fundraising
National,18-10-2022,Australia Post,Fundraising Expenditure,31.61,Fundraising
National,05-10-2022,Australia Post,Fundraising Expenditure,356.43,Fundraising
National,08-11-2022,Australia Post,Fundraising Expenditure,129.58,Fundraising
National,12-12-2022,Australia Post,Fundraising Expenditure,403.3,Fundraising
National,12-02-2023,Australia Post,Fundraising Expenditure,488.32,Fundraising
National,12-02-2023,Australia Post,Fundraising Expenditure,385.86,Fundraising
National,25-01-2023,Australia Post,Fundraising Expenditure,3.38,Fundraising
National,30-01-2023,Australia Post,Fundraising Expenditure,103.74,Fundraising
National,02-02-2023,Australia Post,Fundraising Expenditure,35.34,Fundraising
National,13-02-2023,Australia Post,Fundraising Expenditure,26.4,Fundraising
National,13-02-2023,Australia Post,Fundraising Expenditure,60.01,Fundraising
National,13-02-2023,Australia Post,Fundraising Expenditure,25,Fundraising
National,16-12-2022,Bathurst Goldfields,Fundraising Expenditure,1800,Fundraising
National,27-09-2022,Bathurst RSL Club Ltd,Fundraising Expenditure,3625,Fundraising
National,23-02-2023,Bathurst RSL Club Ltd,Fundraising Expenditure,5155,Fundraising
National,26-11-2022,,Fundraising Expenditure,500,Fundraising
National,15-03-2023,,Fundraising Expenditure,250,Fundraising
National,23-02-2023,The Reject Shop,Fundraising Expenditure,17.25,Fundraising
National,23-02-2023,The Reject Shop,Fundraising Expenditure,6,Fundraising
National,30-11-2022,Central Commercial Printers Pty Ltd,Fundraising Expenditure,286,Fundraising
National,19-12-2022,Central Commercial Printers Pty Ltd,Fundraising Expenditure,99,Fundraising
National,31-12-2022,Central Commercial Printers Pty Ltd,Fundraising Expenditure,77,Fundraising
National,16-02-2023,,Fundraising Expenditure,1000,Fundraising
National,14-12-2022,CLARENCE RIVER JOCKEY CLUB LTD,Fundraising Expenditure,660,Fundraising
National,18-11-2022,Club Mudgee,Fundraising Expenditure,2980,Fundraising
National,27-07-2022,Coffs Harbour Golf Club,Fundraising Expenditure,7671.1,Fundraising
National,06-03-2023,Colour Copy Shop,Fundraising Expenditure,94,Fundraising
National,04-03-2023,DUBBO TURF CLUB,Fundraising Expenditure,715,Fundraising
National,08-03-2023,,Fundraising Expenditure,1000,Fundraising
National,28-02-2023,Elton Ward Creative Pty Ltd,Fundraising Expenditure,176,Fundraising
National,28-02-2023,Elton Ward Creative Pty Ltd,Fundraising Expenditure,132,Fundraising
National,16-11-2022,Forster Tuncurry Memorial Services Club,Fundraising Expenditure,10720,Fundraising
National,15-03-2023,,Fundraising Expenditure,1000,Fundraising
National,02-11-2022,Graham Barclay (Distributors) Pty Ltd,Fundraising Expenditure,960,Fundraising
National,16-02-2023,,Fundraising Expenditure,250,Fundraising
National,10-03-2023,Hermetica Flowers (Winnell Pty Ltd),Fundraising Expenditure,825,Fundraising
National,14-03-2023,Hermetica Flowers (Winnell Pty Ltd),Fundraising Expenditure,825,Fundraising
National,15-02-2023,Hunter Resort Pty Ltd ( Hunter Valley Resort ),Fundraising Expenditure,5110,Fundraising
National,06-03-2023,INNOVATIVE PRODUCTION SERVICES,Fundraising Expenditure,2035,Fundraising
National,14-03-2023,,Fundraising Expenditure,539.2,Fundraising
National,05-11-2022,,Fundraising Expenditure,200,Fundraising
National,16-02-2023,,Fundraising Expenditure,1000,Fundraising
National,17-09-2022,,Fundraising Expenditure,500,Fundraising
National,18-11-2022,LAISSEZ-FAIRE CATERER,Fundraising Expenditure,3354.51,Fundraising
National,29-11-2022,Lazy Oak Vineyard,Fundraising Expenditure,2275,Fundraising
National,15-11-2022,Australia Post,Fundraising Expenditure,16.75,Fundraising
National,23-09-2022,Miles & Son,Fundraising Expenditure,150,Fundraising
National,09-11-2022,Monin Seafoods Pty Ltd,Fundraising Expenditure,404.25,Fundraising
National,23-11-2022,Murwillumbah Services Memorial Club,Fundraising Expenditure,550,Fundraising
National,09-11-2022,Parliament of NSW ( Food & Bev),Fundraising Expenditure,1794,Fundraising
National,17-11-2022,Parliament of NSW ( Food & Bev),Fundraising Expenditure,5620,Fundraising
National,17-11-2022,Parliament of NSW ( Food & Bev),Fundraising Expenditure,450,Fundraising
